,name,oklad,link,site
380,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
381,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
382,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
383,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
384,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
385,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
386,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
387,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
388,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
389,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
390,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
391,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
392,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
393,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
394,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
395,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
396,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
397,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
398,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
399,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
400,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
401,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
402,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
403,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
404,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
405,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
406,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
407,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
408,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
409,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
410,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
411,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
412,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
413,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
414,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
415,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
416,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
417,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
418,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
419,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
420,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
421,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
422,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
423,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
424,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
425,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
426,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
427,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
428,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
429,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
430,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
431,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
432,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
